ixdat version = 0.2.2dev
name = 2022-04-07 11_53_00 HER on Pt repeatability.tsv
technique = EC-MS
tstamp = 1649325180.0
backend_name = BackendBase(none, address=none)
id = 5
timecol 'time/s' for: 'Ewe/V' and 'I/mA' and 'selector'
timecol 'M40-x' for: 'M40'
timecol 'M28-x' for: 'M28'
timecol 'M18-x' for: 'M18'
timecol 'M4-x' for: 'M4'
timecol 'M32-x' for: 'M32'
timecol 'M44-x' for: 'M44'
timecol 'M2-x' for: 'M2'
aliases = {"t": ["time/s"], "raw_potential": ["Ewe/V", "<Ewe>/V"], "raw_current": ["I/mA", "<I>/mA"], "cycle": ["cycle number"]}
N_header_lines = 18

time/s,	Ewe/V,	I/mA,	selector,	M40-x,	M40,	M28-x,	M28,	M18-x,	M18,	M4-x,	M4,	M32-x,	M32,	M44-x,	M44,	M2-x,	M2
24.761620044708252,	1.119391,	1.399471e-05,	0,	21.67895007133484,	3.341252e-12,	21.52995991706848,	1.777661e-10,	21.455960035324097,	3.458726e-09,	21.38095998764038,	3.945931e-08,	21.604949951171875,	1.751471e-10,	21.753950119018555,	3.48708e-11,	21.30696988105774,	2.231898e-09
24.92061996459961,	1.119334,	0.0002636398,	0,	22.241919994354248,	2.995341e-12,	22.09293007850647,	1.799564e-10,	22.018929958343506,	3.453255e-09,	21.943939924240112,	3.97106e-08,	22.167929887771606,	1.744235e-10,	22.316920042037964,	3.521878e-11,	21.869940042495728,	2.229254e-09
25.094820022583008,	1.11938,	6.705384e-05,	0,	22.80486011505127,	3.177685e-12,	22.655869960784912,	1.782048e-10,	22.580869913101196,	3.443999e-09,	22.506880044937134,	3.95955e-08,	22.729860067367554,	1.739581e-10,	22.878859996795654,	3.488092e-11,	22.431879997253418,	2.224948e-09
25.267620086669922,	1.119368,	0.0002678387,	0,	23.36675000190735,	3.359382e-12,	23.21776008605957,	1.79449e-10,	23.143759965896606,	3.485446e-09,	23.068769931793213,	3.988946e-08,	23.292749881744385,	1.749199e-10,	23.441750049591064,	3.535769e-11,	22.994770050048828,	2.226533e-09
25.42501997947693,	1.119391,	0.0001594302,	0,	23.92948007583618,	3.343751e-12,	23.780489921569824,	1.792152e-10,	23.70649003982544,	3.428931e-09,	23.631500005722046,	3.946661e-08,	23.855479955673218,	1.733208e-10,	24.004470109939575,	3.474101e-11,	23.557499885559082,	2.222714e-09
25.5800199508667,	1.119357,	-0.0003257364,	0,	24.493240118026733,	3.318347e-12,	24.344239950180054,	1.79332e-10,	24.269239902496338,	3.489718e-09,	24.195250034332275,	3.962633e-08,	24.418240070343018,	1.729841e-10,	24.567229986190796,	3.520648e-11,	24.12024998664856,	2.221366e-09
25.751019954681396,	1.119349,	8.995706e-05,	0,	25.05489993095398,	3.026647e-12,	24.9059100151062,	1.77319e-10,	24.830919981002808,	3.452737e-09,	24.756930112838745,	3.968126e-08,	24.979909896850586,	1.765791e-10,	25.128900051116943,	3.507154e-11,	24.68193006515503,	2.222786e-09
25.909019947052002,	1.119345,	-5.853215e-05,	0,	25.616859912872314,	3.308366e-12,	25.46788001060486,	1.803515e-10,	25.393879890441895,	3.480911e-09,	25.31889009475708,	3.950664e-08,	25.542870044708252,	1.742343e-10,	25.69185996055603,	3.477195e-11,	25.244889974594116,	2.229423e-09
26.066020011901855,	1.119326,	9.415598e-05,	0,	26.17982006072998,	3.324491e-12,	26.030829906463623,	1.793695e-10,	25.95584011077881,	3.446203e-09,	25.881839990615845,	3.98262e-08,	26.104820013046265,	1.738921e-10,	26.253809928894043,	3.546066e-11,	25.80684995651245,	2.235862e-09
26.23781991004944,	1.119299,	-0.0001722848,	0,	26.743680000305176,	3.299938e-12,	26.594690084457397,	1.793797e-10,	26.519700050354004,	3.44993e-09,	26.44569993019104,	3.967808e-08,	26.668689966201782,	1.73832e-10,	26.81767988204956,	3.5546e-11,	26.370699882507324,	2.226024e-09
26.394819974899292,	1.119364,	0.0003762473,	0,	27.305919885635376,	3.037715e-12,	27.156919956207275,	1.802592e-10,	27.082930088043213,	3.447408e-09,	27.007930040359497,	3.947207e-08,	27.23192000389099,	1.743659e-10,	27.380919933319092,	3.555171e-11,	26.933929920196533,	2.228941e-09
26.56622004508972,	1.119299,	0.000148742,	0,	27.86718988418579,	3.149981e-12,	27.718209981918335,	1.790638e-10,	27.64421010017395,	3.460818e-09,	27.569220066070557,	3.984557e-08,	27.79320001602173,	1.746519e-10,	27.942179918289185,	3.565589e-11,	27.495229959487915,	2.225856e-09
26.721620082855225,	1.119322,	-0.0003161934,	0,	28.431169986724854,	3.191392e-12,	28.282180070877075,	1.784919e-10,	28.20718002319336,	3.457474e-09,	28.133189916610718,	3.978836e-08,	28.356169939041138,	1.737951e-10,	28.505160093307495,	3.469983e-11,	28.05819010734558,	2.234658e-09
26.877820014953613,	1.119368,	0.0001811882,	0,	28.993849992752075,	3.187808e-12,	28.844860076904297,	1.783649e-10,	28.770859956741333,	3.437613e-09,	28.695859909057617,	3.983452e-08,	28.91985011100769,	1.75149e-10,	29.06885004043579,	3.508371e-11,	28.621860027313232,	2.219693e-09
27.033819913864136,	1.119406,	0.0001594302,	0,	29.556010007858276,	2.980352e-12,	29.407020092010498,	1.806821e-10,	29.333019971847534,	3.502492e-09,	29.25802993774414,	3.932474e-08,	29.482009887695312,	1.745664e-10,	29.63100004196167,	3.493151e-11,	29.184030055999756,	2.234898e-09
27.18921995162964,	1.119345,	0.0002750914,	0,	30.118969917297363,	3.495155e-12,	29.969980001449585,	1.789352e-10,	29.89497995376587,	3.447879e-09,	29.820990085601807,	3.933201e-08,	30.043970108032227,	1.747984e-10,	30.192970037460327,	3.526126e-11,	29.74599003791809,	2.22821e-09
27.3610200881958,	1.119345,	-5.547838e-05,	0,	30.681169986724854,	3.227245e-12,	30.532180070877075,	1.783937e-10,	30.45719003677368,	3.490685e-09,	30.38319993019104,	3.937565e-08,	30.60617995262146,	1.734644e-10,	30.755160093307495,	3.583016e-11,	30.308199882507324,	2.220692e-09
27.531019926071167,	1.119368,	7.277964e-05,	0,	31.244019985198975,	3.254248e-12,	31.095020055770874,	1.800304e-10,	31.021029949188232,	3.467801e-09,	30.946029901504517,	3.985773e-08,	31.17002010345459,	1.742099e-10,	31.319010019302368,	3.507702e-11,	30.872040033340454,	2.23169e-09
27.687619924545288,	1.119395,	-0.0001470913,	0,	31.807329893112183,	3.112821e-12,	31.658339977264404,	1.805744e-10,	31.58333992958069,	3.454608e-09,	31.509350061416626,	3.975399e-08,	31.732340097427368,	1.745074e-10,	31.881330013275146,	3.525248e-11,	31.43435001373291,	2.229693e-09
27.843219995498657,	1.119383,	-0.0001990052,	0,	32.37046003341675,	3.290257e-12,	32.22147011756897,	1.792503e-10,	32.146470069885254,	3.450066e-09,	32.07246994972229,	3.962257e-08,	32.29545998573303,	1.75948e-10,	32.44445991516113,	3.524597e-11,	31.997479915618896,	2.230022e-09
27.997620105743408,	1.119349,	5.407535e-05,	0,	32.93097996711731,	3.464183e-12,	32.78199005126953,	1.79396e-10,	32.70799994468689,	3.458114e-09,	32.633009910583496,	3.982823e-08,	32.85699009895325,	1.768671e-10,	33.0059700012207,	3.513676e-11,	32.55901002883911,	2.230247e-09
28.154419898986816,	1.119368,	0.0001170592,	0,	33.49504995346069,	3.161665e-12,	33.346060037612915,	1.798083e-10,	33.27205991744995,	3.503412e-09,	33.19706988334656,	3.998814e-08,	33.42105007171631,	1.751588e-10,	33.57003998756409,	3.550772e-11,	33.12307000160217,	2.230454e-09
28.31082010269165,	1.119383,	0.0002277581,	0,	34.05802011489868,	3.280593e-12,	33.909029960632324,	1.793976e-10,	33.83402991294861,	3.470961e-09,	33.760030031204224,	3.996029e-08,	33.983020067214966,	1.746243e-10,	34.132009983062744,	3.498526e-11,	33.68503999710083,	2.214553e-09
28.484819889068604,	1.119395,	2.430116e-05,	0,	34.620150089263916,	3.186364e-12,	34.471149921417236,	1.782977e-10,	34.397160053253174,	3.452118e-09,	34.32216000556946,	3.9372e-08,	34.54614996910095,	1.742566e-10,	34.69513988494873,	3.496383e-11,	34.248159885406494,	2.222178e-09
