ixdat version = 0.2.2dev
name = 2022-04-07 13_20_11 HER on Pt repeatability non-aqu.tsv
technique = EC-MS
tstamp = 1649330411.0
backend_name = BackendBase(none, address=none)
id = 1
timecol 'time/s' for: 'Ewe/V' and 'I/mA' and 'selector'
timecol 'M40-x' for: 'M40'
timecol 'M28-x' for: 'M28'
timecol 'M18-x' for: 'M18'
timecol 'M4-x' for: 'M4'
timecol 'M32-x' for: 'M32'
timecol 'M44-x' for: 'M44'
timecol 'M2-x' for: 'M2'
aliases = {"t": ["time/s"], "raw_potential": ["Ewe/V", "<Ewe>/V"], "raw_current": ["I/mA", "<I>/mA"], "cycle": ["cycle number"]}
N_header_lines = 18

time/s,	Ewe/V,	I/mA,	selector,	M40-x,	M40,	M28-x,	M28,	M18-x,	M18,	M4-x,	M4,	M32-x,	M32,	M44-x,	M44,	M2-x,	M2
344.2397999763489,	0.9296044,	-0.0002589353,	0,	30.172070026397705,	9.13929e-10,	30.023080110549927,	8.276583e-08,	29.94808006286621,	2.481885e-09,	29.87408995628357,	4.192355e-09,	30.09706997871399,	2.224496e-08,	30.246059894561768,	1.386033e-10,	29.799089908599854,	1.862283e-09
344.4117999076843,	0.9296426,	-0.000249774,	0,	30.73403000831604,	9.121615e-10,	30.58504009246826,	8.200549e-08,	30.51104998588562,	2.485761e-09,	30.436049938201904,	4.209639e-09,	30.6600399017334,	2.224501e-08,	30.809030055999756,	1.360988e-10,	30.362060070037842,	1.855675e-09
344.58260011672974,	0.9296502,	-0.000292145,	0,	31.296849966049194,	9.200711e-10,	31.147860050201416,	8.216919e-08,	31.0728600025177,	2.467952e-09,	30.99886989593506,	4.189119e-09,	31.22184991836548,	2.236233e-08,	31.370840072631836,	1.365944e-10,	30.923870086669922,	1.861138e-09
344.7493999004364,	0.9295815,	0.0004586989,	0,	31.859709978103638,	9.145783e-10,	31.71072006225586,	8.216551e-08,	31.635730028152466,	2.467096e-09,	31.561729907989502,	4.220563e-09,	31.784719944000244,	2.226602e-08,	31.9337100982666,	1.359054e-10,	31.486740112304688,	1.860705e-09
344.8943998813629,	0.929589,	0.000563672,	0,	32.421459913253784,	9.198181e-10,	32.272469997406006,	8.277306e-08,	32.198479890823364,	2.486153e-09,	32.12348008155823,	4.223228e-09,	32.34747004508972,	2.240293e-08,	32.4964599609375,	1.367979e-10,	32.049489974975586,	1.863271e-09
345.06579995155334,	0.9296464,	5.560222e-05,	0,	32.98303008079529,	9.115434e-10,	32.83404994010925,	8.26894e-08,	32.76006007194519,	2.445338e-09,	32.6850700378418,	4.213787e-09,	32.90903997421265,	2.217518e-08,	33.05802011489868,	1.348846e-10,	32.61106991767883,	1.863922e-09
345.239599943161,	0.929612,	-0.0005895051,	0,	33.5477499961853,	9.135475e-10,	33.398760080337524,	8.234014e-08,	33.32377004623413,	2.44529e-09,	33.24976992607117,	4.19774e-09,	33.47275996208191,	2.224246e-08,	33.62175011634827,	1.37668e-10,	33.17477989196777,	1.847328e-09
345.4124000072479,	0.929589,	4.491406e-05,	0,	34.10971999168396,	9.177375e-10,	33.96073007583618,	8.185263e-08,	33.88672995567322,	2.457487e-09,	33.8117299079895,	4.228054e-09,	34.035720109939575,	2.212352e-08,	34.18471002578735,	1.396025e-10,	33.73774003982544,	1.850753e-09
345.56900000572205,	0.9296426,	0.0002163065,	0,	34.67233991622925,	9.144107e-10,	34.52336001396179,	8.23474e-08,	34.44935989379883,	2.462804e-09,	34.374370098114014,	4.206206e-09,	34.598350048065186,	2.232245e-08,	34.747339963912964,	1.413001e-10,	34.30036997795105,	1.862594e-09
345.7239999771118,	0.929589,	-7.952677e-05,	0,	35.235780000686646,	9.209143e-10,	35.08679008483887,	8.227465e-08,	35.01179003715515,	2.478059e-09,	34.93779993057251,	4.19784e-09,	35.16077995300293,	2.240132e-08,	35.30977988243103,	1.419154e-10,	34.862799882888794,	1.855303e-09
