ixdat version = 0.2.2dev
name = 2022-04-07 10_10_27 OER on Pt repeatability.tsv
technique = EC-MS
tstamp = 1649319027.0
backend_name = BackendBase(none, address=none)
id = 2
timecol 'time/s' for: 'Ewe/V' and 'I/mA' and 'selector'
timecol 'M40-x' for: 'M40'
timecol 'M28-x' for: 'M28'
timecol 'M18-x' for: 'M18'
timecol 'M4-x' for: 'M4'
timecol 'M32-x' for: 'M32'
timecol 'M44-x' for: 'M44'
timecol 'M2-x' for: 'M2'
aliases = {"t": ["time/s"], "raw_potential": ["Ewe/V", "<Ewe>/V"], "raw_current": ["I/mA", "<I>/mA"], "cycle": ["cycle number"]}
N_header_lines = 18

time/s,	Ewe/V,	I/mA,	selector,	M40-x,	M40,	M28-x,	M28,	M18-x,	M18,	M4-x,	M4,	M32-x,	M32,	M44-x,	M44,	M2-x,	M2
663.7513000965118,	0.9211966,	0.0001987473,	0,	25.10329008102417,	9.014965e-10,	24.954309940338135,	8.428288e-08,	24.88031005859375,	3.588744e-09,	24.805320024490356,	1.327913e-12,	25.02929997444153,	2.071373e-08,	25.178280115127563,	1.26972e-10,	24.731329917907715,	1.737108e-09
663.9065001010895,	0.9212081,	-2.150528e-05,	0,	25.66656994819641,	8.994386e-10,	25.517580032348633,	8.425379e-08,	25.44258999824524,	3.609068e-09,	25.368599891662598,	9.37035e-13,	25.591579914093018,	2.058963e-08,	25.740560054779053,	1.265758e-10,	25.29360008239746,	1.723951e-09
664.0936999320984,	0.9211814,	-2.037541e-06,	0,	26.229599952697754,	8.978768e-10,	26.080610036849976,	8.510508e-08,	26.005620002746582,	3.635221e-09,	25.93162989616394,	1.219943e-12,	26.15460991859436,	2.057439e-08,	26.303590059280396,	1.25941e-10,	25.856630086898804,	1.736478e-09
664.2497000694275,	0.9212043,	0.0002540968,	0,	26.791549921035767,	9.016627e-10,	26.64256000518799,	8.503958e-08,	26.568569898605347,	3.647513e-09,	26.493580102920532,	1.070569e-12,	26.717560052871704,	2.050021e-08,	26.86653995513916,	1.312912e-10,	26.41957998275757,	1.735522e-09
664.4054999351501,	0.9211585,	-9.441385e-05,	0,	27.35526990890503,	8.990518e-10,	27.20627999305725,	8.532695e-08,	27.131289958953857,	3.577974e-09,	27.057290077209473,	1.161157e-12,	27.280280113220215,	2.065148e-08,	27.429270029067993,	1.337311e-10,	26.982290029525757,	1.732258e-09
664.559700012207,	0.9212005,	-9.288698e-05,	0,	27.917999982833862,	8.987464e-10,	27.769010066986084,	8.491951e-08,	27.69402003288269,	3.618517e-09,	27.620019912719727,	1.129733e-12,	27.84300994873047,	2.062531e-08,	27.991990089416504,	1.313415e-10,	27.545030117034912,	1.73517e-09
664.7153000831604,	0.9211546,	0.0001548495,	0,	28.4792799949646,	9.014513e-10,	28.33029007911682,	8.465393e-08,	28.25629997253418,	3.611523e-09,	28.181309938430786,	1.084023e-12,	28.405289888381958,	2.071018e-08,	28.554270029067993,	1.283428e-10,	28.1073100566864,	1.733681e-09
664.8603000640869,	0.9211661,	0.0001628656,	0,	29.04321002960205,	9.060671e-10,	28.894220113754272,	8.490859e-08,	28.82021999359131,	3.591651e-09,	28.745229959487915,	1.094122e-12,	28.969209909439087,	2.073738e-08,	29.118210077285767,	1.257228e-10,	28.67123007774353,	1.740334e-09
665.0281000137329,	0.9211546,	-0.0001684676,	0,	29.60575008392334,	8.996741e-10,	29.456759929656982,	8.51014e-08,	29.38176989555359,	3.601445e-09,	29.307770013809204,	1.277298e-12,	29.530750036239624,	2.06807e-08,	29.679739952087402,	1.249461e-10,	29.23277997970581,	1.744782e-09
665.1844999790192,	0.9211699,	6.476352e-05,	0,	30.167710065841675,	9.048182e-10,	30.018719911575317,	8.528693e-08,	29.944720029830933,	3.604365e-09,	29.86972999572754,	1.249038e-12,	30.09370994567871,	2.065715e-08,	30.24270009994507,	1.243713e-10,	29.795739889144897,	1.742553e-09
665.3405001163483,	0.9211814,	-0.0002677149,	0,	30.730989933013916,	9.038427e-10,	30.581990003585815,	8.514506e-08,	30.507999897003174,	3.592897e-09,	30.433000087738037,	1.133178e-12,	30.65699005126953,	2.096495e-08,	30.80597996711731,	1.226847e-10,	30.359009981155396,	1.743651e-09
665.4962999820709,	0.9211699,	0.0001876775,	0,	31.29407000541687,	9.026748e-10,	31.145080089569092,	8.493043e-08,	31.0700900554657,	3.56187e-09,	30.996089935302734,	1.102912e-12,	31.219079971313477,	2.081807e-08,	31.368069887161255,	1.261412e-10,	30.92108988761902,	1.742321e-09
665.6522998809814,	0.9211623,	-6.922031e-05,	0,	31.856810092926025,	8.914833e-10,	31.707819938659668,	8.500323e-08,	31.632819890975952,	3.578953e-09,	31.55883002281189,	1.241964e-12,	31.78181004524231,	2.054629e-08,	31.930799961090088,	1.253051e-10,	31.483829975128174,	1.733767e-09
665.8450999259949,	0.9211814,	3.575277e-05,	0,	32.418009996414185,	8.994833e-10,	32.26903009414673,	8.494138e-08,	32.195029973983765,	3.576613e-09,	32.12003993988037,	1.35312e-12,	32.34401988983154,	2.081639e-08,	32.4930100440979,	1.253277e-10,	32.04605007171631,	1.741726e-09
666.0239000320435,	0.9211852,	-9.89945e-05,	0,	32.98150992393494,	9.020197e-10,	32.83252000808716,	8.539612e-08,	32.75751996040344,	3.545025e-09,	32.68353009223938,	1.279518e-12,	32.9065101146698,	2.064186e-08,	33.05550003051758,	1.24757e-10,	32.608540058135986,	1.733225e-09
666.197900056839,	0.9211241,	9.07205e-05,	0,	33.54433989524841,	8.938016e-10,	33.395349979400635,	8.501775e-08,	33.32035994529724,	3.554332e-09,	33.246360063552856,	1.068728e-12,	33.4693500995636,	2.063977e-08,	33.61834001541138,	1.221806e-10,	33.17137002944946,	1.732063e-09
666.3691000938416,	0.9211853,	-0.0003230643,	0,	34.10630011558533,	9.039598e-10,	33.95730996131897,	8.545431e-08,	33.88332009315491,	3.563456e-09,	33.80832004547119,	1.633568e-12,	34.03229999542236,	2.086461e-08,	34.18128991127014,	1.244553e-10,	33.73432993888855,	1.736547e-09
666.5429000854492,	0.9211432,	0.0001861506,	0,	34.669169902801514,	9.040498e-10,	34.520179986953735,	8.515962e-08,	34.44618010520935,	3.553493e-09,	34.37119007110596,	2.345105e-12,	34.59517002105713,	2.065076e-08,	34.74415993690491,	1.253684e-10,	34.297199964523315,	1.739451e-09
