ixdat version = 0.2.2dev
name = 2022-03-30 12_51_35 OER on Pt repeatability.tsv
technique = EC-MS
tstamp = 1648637495.0
backend_name = BackendBase(none, address=none)
id = 1
timecol 'time/s' for: 'Ewe/V' and 'I/mA' and 'selector'
timecol 'M40-x' for: 'M40'
timecol 'M28-x' for: 'M28'
timecol 'M18-x' for: 'M18'
timecol 'M4-x' for: 'M4'
timecol 'M32-x' for: 'M32'
timecol 'M44-x' for: 'M44'
timecol 'M2-x' for: 'M2'
aliases = {"t": ["time/s"], "raw_potential": ["Ewe/V", "<Ewe>/V"], "raw_current": ["I/mA", "<I>/mA"], "cycle": ["cycle number"]}
N_header_lines = 18

time/s,	Ewe/V,	I/mA,	selector,	M40-x,	M40,	M28-x,	M28,	M18-x,	M18,	M4-x,	M4,	M32-x,	M32,	M44-x,	M44,	M2-x,	M2
103.9475998878479,	0.871984,	-6.425039e-05,	0,	29.057260036468506,	3.242745e-12,	28.908250093460083,	1.807869e-10,	28.833250045776367,	3.182881e-09,	28.759249925613403,	3.999966e-08,	28.98225998878479,	1.126311e-10,	29.13125991821289,	4.152228e-11,	28.684250116348267,	8.468075e-10
104.10579991340637,	0.8719955,	6.713775e-05,	0,	29.618489980697632,	3.321547e-12,	29.46949005126953,	1.830505e-10,	29.395489931106567,	3.188764e-09,	29.32048988342285,	3.991596e-08,	29.544490098953247,	1.127165e-10,	29.693490028381348,	4.07597e-11,	29.246490001678467,	8.475974e-10
104.2474000453949,	0.8719993,	-2.523857e-05,	0,	30.181489944458008,	3.165526e-12,	30.032490015029907,	1.818144e-10,	29.95748996734619,	3.173852e-09,	29.883490085601807,	3.975407e-08,	30.106489896774292,	1.120604e-10,	30.25549006462097,	4.125309e-11,	29.80849003791809,	8.429723e-10
104.38800001144409,	0.8720108,	0.0002442942,	0,	30.744719982147217,	3.197104e-12,	30.595720052719116,	1.813542e-10,	30.5207200050354,	3.162186e-09,	30.446710109710693,	3.970496e-08,	30.6697199344635,	1.122645e-10,	30.81872010231018,	4.081182e-11,	30.371710062026978,	8.429886e-10
104.54620003700256,	0.8719152,	0.0003182334,	0,	31.306489944458008,	3.172197e-12,	31.157490015029907,	1.812196e-10,	31.083489894866943,	3.165844e-09,	31.008490085601807,	3.981411e-08,	31.232490062713623,	1.114743e-10,	31.381489992141724,	4.084053e-11,	30.934489965438843,	8.428674e-10
104.71919989585876,	0.8720299,	0.0001233652,	0,	31.870219945907593,	3.050659e-12,	31.721220016479492,	1.811684e-10,	31.647209882736206,	3.175548e-09,	31.57221007347107,	3.987959e-08,	31.796220064163208,	1.123919e-10,	31.94521999359131,	4.142213e-11,	31.498209953308105,	8.422251e-10
104.87660002708435,	0.8719764,	-0.0002159461,	0,	32.43291997909546,	3.147973e-12,	32.28392004966736,	1.834635e-10,	32.20892000198364,	3.157447e-09,	32.13491988182068,	3.96795e-08,	32.35791993141174,	1.119113e-10,	32.50692009925842,	4.031187e-11,	32.05992007255554,	8.402191e-10
105.00699996948242,	0.8719573,	9.481247e-05,	0,	32.99467992782593,	3.184438e-12,	32.84567999839783,	1.828883e-10,	32.77167010307312,	3.182056e-09,	32.696670055389404,	3.974861e-08,	32.92068004608154,	1.125461e-10,	33.069679975509644,	4.143856e-11,	32.62266993522644,	8.434526e-10
105.1710000038147,	0.8719611,	-2.745255e-05,	0,	33.55690002441406,	3.24944e-12,	33.40790009498596,	1.82873e-10,	33.333899974823,	3.184495e-09,	33.25889992713928,	3.987775e-08,	33.4828999042511,	1.127381e-10,	33.63190007209778,	4.137517e-11,	33.1849000453949,	8.4459e-10
105.31380009651184,	0.8719649,	-4.840899e-05,	0,	34.119889974594116,	3.244392e-12,	33.970890045166016,	1.823441e-10,	33.8958899974823,	3.178112e-09,	33.821890115737915,	3.973225e-08,	34.0448899269104,	1.126868e-10,	34.19389009475708,	4.15013e-11,	33.7468900680542,	8.397744e-10
105.48320007324219,	0.8719726,	-7.574016e-05,	0,	34.68409991264343,	3.186382e-12,	34.53509998321533,	1.818147e-10,	34.460099935531616,	3.182102e-09,	34.38610005378723,	3.984503e-08,	34.609100103378296,	1.120329e-10,	34.7581000328064,	4.112906e-11,	34.31108999252319,	8.374326e-10
105.62459993362427,	0.8719955,	-4.275953e-05,	0,	35.24582004547119,	3.29537e-12,	35.09681010246277,	1.815733e-10,	35.022809982299805,	3.17317e-09,	34.94780993461609,	3.978134e-08,	35.17181992530823,	1.113982e-10,	35.32082009315491,	4.119681e-11,	34.873810052871704,	8.398255e-10
105.8018000125885,	0.8719726,	-6.839648e-06,	0,	35.80855989456177,	3.212233e-12,	35.65955996513367,	1.809577e-10,	35.58455991744995,	3.167446e-09,	35.510560035705566,	3.976314e-08,	35.73356008529663,	1.116753e-10,	35.88256001472473,	4.145118e-11,	35.43555998802185,	8.440218e-10
105.98860001564026,	0.8720108,	-0.0001496412,	0,	36.37178993225098,	3.291055e-12,	36.222790002822876,	1.807351e-10,	36.14778995513916,	3.15926e-09,	36.073790073394775,	3.961035e-08,	36.29678988456726,	1.119521e-10,	36.44579005241394,	4.104945e-11,	35.99879002571106,	8.38086e-10
106.16100001335144,	0.8719878,	0.0002786108,	0,	36.934030055999756,	3.139761e-12,	36.785029888153076,	1.804183e-10,	36.71103000640869,	3.161024e-09,	36.636029958724976,	3.970494e-08,	36.86002993583679,	1.116167e-10,	37.00903010368347,	4.097497e-11,	36.56203007698059,	8.419872e-10
106.30100011825562,	0.8720108,	0.0001255791,	0,	37.49627995491028,	3.296315e-12,	37.34728002548218,	1.809784e-10,	37.273279905319214,	3.152234e-09,	37.19828009605408,	3.965402e-08,	37.422280073165894,	1.12178e-10,	37.571280002593994,	4.143687e-11,	37.12427997589111,	8.404852e-10
106.44260001182556,	0.8737796,	-1.718427e-05,	0,	38.059279918670654,	3.26392e-12,	37.910279989242554,	1.806775e-10,	37.83527994155884,	3.165249e-09,	37.76128005981445,	3.971951e-08,	37.98428010940552,	1.133132e-10,	38.13328003883362,	4.091959e-11,	37.68628001213074,	8.410627e-10
106.58200001716614,	0.8768398,	-0.0002788535,	0,	38.621530055999756,	3.359592e-12,	38.472529888153076,	1.804979e-10,	38.39853000640869,	3.16565e-09,	38.323529958724976,	3.970313e-08,	38.54752993583679,	1.117736e-10,	38.69653010368347,	4.118781e-11,	38.24953007698059,	8.374049e-10
106.7377998828888,	0.8797203,	0.0001595141,	0,	39.18474006652832,	3.404333e-12,	39.03573989868164,	1.811482e-10,	38.961740016937256,	3.161058e-09,	38.88673996925354,	3.969041e-08,	39.110739946365356,	1.12325e-10,	39.25974988937378,	4.159465e-11,	38.812740087509155,	8.363237e-10
106.87800002098083,	0.8824939,	0.0001008437,	0,	39.7474799156189,	3.474121e-12,	39.598479986190796,	1.824294e-10,	39.52347993850708,	3.177419e-09,	39.449480056762695,	3.981047e-08,	39.67248010635376,	1.119971e-10,	39.82148003578186,	4.131497e-11,	39.37448000907898,	8.426198e-10
107.02099990844727,	0.8854623,	-0.0001221955,	0,	40.310240030288696,	3.344773e-12,	40.161240100860596,	1.812971e-10,	40.08624005317688,	3.169803e-09,	40.012239933013916,	3.961402e-08,	40.23523998260498,	1.122752e-10,	40.38423991203308,	4.167372e-11,	39.9372398853302,	8.399711e-10
107.16140007972717,	0.8882359,	0.0003832022,	0,	40.87294006347656,	3.177085e-12,	40.72393989562988,	1.806241e-10,	40.6499400138855,	3.167585e-09,	40.57493996620178,	3.971407e-08,	40.7989399433136,	1.119254e-10,	40.94794011116028,	4.188625e-11,	40.5009400844574,	8.366192e-10
107.30040001869202,	0.8910249,	0.002790178,	0,	41.43595004081726,	3.333357e-12,	41.28695011138916,	1.816233e-10,	41.21194005012512,	3.170795e-09,	41.13793992996216,	3.96795e-08,	41.360949993133545,	1.127218e-10,	41.509949922561646,	4.094408e-11,	41.06293988227844,	8.376254e-10
107.45679998397827,	0.8941576,	0.0002283382,	0,	41.998680114746094,	3.105214e-12,	41.849679946899414,	1.809915e-10,	41.7746798992157,	3.169002e-09,	41.70068001747131,	3.9765e-08,	41.92368006706238,	1.118707e-10,	42.07267999649048,	4.158591e-11,	41.6256799697876,	8.399583e-10
107.5971999168396,	0.8968242,	0.0003154468,	0,	42.56088995933533,	3.226443e-12,	42.41189002990723,	1.794271e-10,	42.33788990974426,	3.166908e-09,	42.262890100479126,	3.96595e-08,	42.48689007759094,	1.123564e-10,	42.63589000701904,	4.109574e-11,	42.18887996673584,	8.413681e-10
107.73839998245239,	0.8998958,	0.0003768656,	0,	43.124119997024536,	3.188314e-12,	42.97511005401611,	1.792644e-10,	42.90110993385315,	3.170505e-09,	42.826109886169434,	3.973044e-08,	43.05011010169983,	1.118699e-10,	43.19912004470825,	4.092673e-11,	42.75211000442505,	8.429519e-10
107.91000008583069,	0.9031813,	0.000335907,	0,	43.68634009361267,	3.312594e-12,	43.53733992576599,	1.800095e-10,	43.462340116500854,	3.144049e-09,	43.38833999633789,	3.954674e-08,	43.611340045928955,	1.123121e-10,	43.760339975357056,	4.129654e-11,	43.313339948654175,	8.363111e-10
108.07820010185242,	0.906528,	8.19485e-05,	0,	44.248600006103516,	3.388722e-12,	44.099600076675415,	1.797323e-10,	44.02559995651245,	3.167454e-09,	43.950599908828735,	3.961222e-08,	44.17459988594055,	1.127258e-10,	44.32360005378723,	4.12916e-11,	43.87660002708435,	8.406529e-10
108.22000002861023,	0.9095232,	0.000486572,	0,	44.81177997589111,	3.297083e-12,	44.66278004646301,	1.818871e-10,	44.58877992630005,	3.150393e-09,	44.51378011703491,	3.959586e-08,	44.73778009414673,	1.127273e-10,	44.88678002357483,	4.098672e-11,	44.43977999687195,	8.390575e-10
108.36240005493164,	0.9121401,	0.0005282177,	0,	45.37478995323181,	3.138983e-12,	45.22578001022339,	1.80348e-10,	45.15077996253967,	3.161807e-09,	45.07678008079529,	3.959585e-08,	45.299789905548096,	1.120013e-10,	45.448790073394775,	4.09024e-11,	45.00178003311157,	8.399056e-10
